cidade;moeda;id;nome;anfitriao;regiao;bairro;tipo_acomodacao;latitude;longitude;preco;preco_moeda_comum;taxa_cambio;noites_minimas;avaliacoes;avaliacoes_por_mes;ultima_avaliacao;disponibilidade_365;anuncios_do_anfitriao;outlier
NY;USD;253846;Superior @ Box House;The Box House Hotel;Brooklyn;Greenpoint;Hotel room;40,7375602722168;-73,95349884033203;238;1285,2;5,4;1;33;0,21;2024-04-28;165;29;nao
NY;USD;77765;Superior @ Box House;The Box House Hotel;Brooklyn;Greenpoint;Hotel room;40,737770080566406;-73,95365905761719;238;1285,2;5,4;1;70;0,4;2025-05-11;164;29;nao
NY;USD;80684;Duplex w/ Terrace @ Box House Hotel;The Box House Hotel;Brooklyn;Greenpoint;Hotel room;40,7375602722168;-73,95349884033203;380;2052;5,4;1;10;0,06;2022-09-12;167;29;nao
NY;USD;84010;Superior @ Box House;The Box House Hotel;Brooklyn;Greenpoint;Hotel room;40,737770080566406;-73,95365905761719;238;1285,2;5,4;1;36;0,22;2025-05-18;164;29;nao
NY;USD;17097495;The Chester Himes Room at The Harlem Flophouse;René;Manhattan;Harlem;Hotel room;40,808998107910156;-73,95166015625;178;961,2;5,4;1;107;1,05;2025-05-26;275;4;nao
NY;USD;21205650;Comfy 1 bedroom suite in midtown manhattan;Stanley;Manhattan;Murray Hill;Hotel room;40,75035858154297;-73,97537994384766;220;1188;5,4;30;0;;;364;83;nao
NY;USD;21205810;Elegant 1 bedroom suite in midtown Manhattan;Stanley;Manhattan;Murray Hill;Hotel room;40,74843978881836;-73,97572326660156;240;1296;5,4;30;1;0,01;2019-02-17;364;83;nao
NY;USD;21205891;Roomy 1 bedroom suite in midtown Manhattan;Stanley;Manhattan;Murray Hill;Hotel room;40,74848175048828;-73,97544860839844;220;1188;5,4;30;16;0,19;2024-11-05;319;83;nao
NY;USD;21206002;Impressive 1 bedroom near Sloan Kettering;Stanley;Manhattan;Murray Hill;Hotel room;40,74884033203125;-73,9775619506836;220;1188;5,4;30;3;0,06;2023-08-05;364;83;nao
NY;USD;21073975;Charming 1 bedroom in mid-town Manhattan;Stanley;Manhattan;Murray Hill;Hotel room;40,74861145019531;-73,9779281616211;240;1296;5,4;30;2;0,02;2018-07-28;364;83;nao
NY;USD;21098555;Fabulous 1 bedroom in midtown Manhattan;Stanley;Manhattan;Murray Hill;Hotel room;40,74993133544922;-73,97554779052734;274;1479,6000000000001;5,4;30;0;;;364;83;nao
NY;USD;21098848;Sunny 1 bedroom suite in midtown Manhattan;Stanley;Manhattan;Murray Hill;Hotel room;40,750099182128906;-73,97743225097656;220;1188;5,4;30;2;0,03;2021-07-18;364;83;nao
NY;USD;21098980;Comfortable studio suite in midtown Manhattan;Stanley;Manhattan;Murray Hill;Hotel room;40,7501106262207;-73,97724914550781;170;918,0000000000001;5,4;30;4;0,04;2021-02-28;320;83;nao
NY;USD;22431770;Freehand New York - Premium Queen Room;Freehand;Manhattan;Flatiron District;Hotel room;40,740299224853516;-73,98599243164062;314;1695,6000000000001;5,4;1;1052;11,8;2025-05-04;0;6;nao
NY;USD;33580893;Bedford Double;Walker Hotel Greenwich Village;Manhattan;Greenwich Village;Hotel room;40,7351188659668;-73,9970474243164;440;2376;5,4;1;34;0,48;2025-03-28;333;2;nao
NY;USD;33580907;Grove Queen;Walker Hotel Greenwich Village;Manhattan;Greenwich Village;Hotel room;40,73543930053711;-73,99746704101562;400;2160;5,4;1;77;1,03;2025-01-02;347;2;nao
NY;USD;34491918;ADA Compliant Studio Room near Central Park;The Michelangelo;Manhattan;Theater District;Hotel room;40,76156997680664;-73,9825668334961;475;2565;5,4;1;2;0,03;2021-12-23;58;4;nao
NY;USD;35539856;Nesva Hotel, King City View;Nesva Hotel;Queens;Long Island City;Hotel room;40,75331115722656;-73,93501281738281;243;1312,2;5,4;1;45;0,65;2025-01-03;313;12;nao
