curso;valor;quantidade_alunos
Python para Iniciantes;675.48;12
Excel Avançado;767.40;40
Power BI na Prática;300.89;22
Desenvolvimento Web com HTML e CSS;709.03;78
JavaScript Moderno;178.24;63
Banco de Dados com SQL;128.60;20
Introdução à Ciência de Dados;296.77;73
Machine Learning Aplicado;641.82;80
Redes de Computadores;278.95;92
Segurança da Informação;731.19;62
Desenvolvimento Mobile com Flutter;298.40;84
React.js do Zero ao Avançado;350.37;9
Java para Web;782.93;29
Administração de Servidores Linux;728.33;52
Cloud Computing com AWS;350.08;36
DevOps na Prática;961.49;52
Programação em C#;191.99;57
Design de UX/UI;187.04;53
Automação de Processos com RPA;643.35;14
Introdução à Inteligência Artificial;756.76;77
